Order	PDB_Chain	Type	Length	Source
1	1AD8_3|Chain	alpha	10	PDB_direct
2	1AVP_2|Chain	alpha	11	PDB_direct
3	1ZIF_1|Chain	alpha	12	PDB_direct
4	1ALZ_2|Chain	alpha	16	PDB_direct
5	1PEF_1|Chain	alpha	18	PDB_direct
6	1ALF_1|Chain	alpha	19	PDB_direct
7	1ATP_2|Chain	alpha	20	PDB_direct
8	1AI0_1|Chains	alpha	21	PDB_direct
9	1AKH_1|Chain	alpha	21	PDB_direct
10	1AKH_2|Chain	alpha	21	PDB_direct
11	1AWC_1|Chain	alpha	21	PDB_direct
12	1AWC_2|Chain	alpha	21	PDB_direct
13	1AXC_2|Chains	alpha	22	PDB_direct
14	1AU7_2|Chain	alpha	24	PDB_direct
15	1AS5_1|Chain	alpha	25	PDB_direct
16	1HTM_1|Chains	alpha	27	PDB_direct
17	1FSD_1|Chain	alpha	28	PDB_direct
18	1ARE_1|Chain	alpha	29	PDB_direct
19	1AI0_2|Chains	alpha	30	PDB_direct
20	1VII_1|Chain	alpha	36	PDB_direct
21	1BBA_1|Chain	alpha	36	PDB_direct
22	1AD8_1|Chain	alpha	36	PDB_direct
23	1AJJ_1|Chain	alpha	37	PDB_direct
24	1ERC_1|Chain	alpha	40	PDB_direct
25	1AFO_1|Chains	alpha	40	PDB_direct
26	1CRN_1|Chain	alpha	46	PDB_direct
27	1AN1_2|Chain	alpha	46	PDB_direct
28	1AQ5_1|Chains	alpha	47	PDB_direct
29	1APF_1|Chain	alpha	49	PDB_direct
30	1ARR_1|Chains	alpha	53	PDB_direct
31	1ENH_1|Chain	alpha	54	PDB_direct
32	1PGB_1|Chain	alpha	56	PDB_direct
33	1BDD_1|Chain	alpha	60	PDB_direct
34	1AKH_3|Chain	alpha	61	PDB_direct
35	1SHG_1|Chain	alpha	62	PDB_direct
36	1ROP_1|Chain	alpha	63	PDB_direct
37	1AHO_1|Chain	alpha	64	PDB_direct
38	1AZP_2|Chain	alpha	66	PDB_direct
39	1MJC_1|Chain	alpha	69	PDB_direct
40	1POU_1|Chain	alpha	71	PDB_direct
41	1AH9_1|Chain	alpha	71	PDB_direct
42	1AIL_1|Chain	alpha	73	PDB_direct
43	1CTF_1|Chain	alpha	74	PDB_direct
44	1UBQ_1|Chain	alpha	76	PDB_direct
45	1VCC_1|Chain	alpha	77	PDB_direct
46	1AKH_4|Chain	alpha	83	PDB_direct
47	1ABA_1|Chain	alpha	87	PDB_direct
48	1AY7_2|Chain	alpha	89	PDB_direct
49	1A68_1|Chain	alpha	95	PDB_direct
50	1AY7_1|Chain	alpha	96	PDB_direct
51	1APS_1|Chain	alpha	98	PDB_direct
52	1AZ5_1|Chain	alpha	99	PDB_direct
53	1P68_1|Chain	alpha	102	PDB_direct
54	1AG2_1|Chain	alpha	103	PDB_direct
55	1AKK_1|Chain	alpha	104	PDB_direct
56	1AYF_1|Chains	alpha	105	PDB_direct
57	1WRP_1|Chain	alpha	107	PDB_direct
58	2TRX_1|Chains	alpha	108	PDB_direct
59	1ACX_1|Chain	alpha	108	PDB_direct
60	1AJ3_1|Chain	alpha	110	PDB_direct
61	1AWC_3|Chain	alpha	110	PDB_direct
62	1AL0_4|Chain	alpha	120	PDB_direct
63	1AR1_4|Chain	alpha	120	PDB_direct
64	1ALC_1|Chain	alpha	123	PDB_direct
65	1ANG_1|Chain	alpha	123	PDB_direct
66	1ACF_1|Chain	alpha	125	PDB_direct
67	1AR1_3|Chain	alpha	127	PDB_direct
68	1AKI_1|Chain	alpha	129	PDB_direct
69	1ADL_1|Chain	alpha	131	PDB_direct
70	1ABV_1|Chain	alpha	134	PDB_direct
71	1HTM_2|Chains	alpha	138	PDB_direct
72	1AT0_1|Chain	alpha	145	PDB_direct
73	1AU7_3|Chains	alpha	146	PDB_direct
74	1AX8_1|Chain	alpha	146	PDB_direct
75	1AOH_1|Chains	alpha	147	PDB_direct
76	1A3A_1|Chains	alpha	148	PDB_direct
77	1AQZ_1|Chains	alpha	149	PDB_direct
78	1ASH_1|Chain	alpha	150	PDB_direct
79	1AL0_1|Chains	alpha	152	PDB_direct
80	1AWC_4|Chain	alpha	153	PDB_direct
81	1AM7_1|Chains	alpha	158	PDB_direct
82	1ASS_1|Chain	alpha	159	PDB_direct
83	1AEP_1|Chain	alpha	161	PDB_direct
84	1TOP_1|Chain	alpha	162	PDB_direct
85	1PIN_1|Chain	alpha	163	PDB_direct
86	1AMM_1|Chain	alpha	174	PDB_direct
87	1AL0_3|Chain	alpha	175	PDB_direct
88	1AVW_2|Chain	alpha	177	PDB_direct
89	1AQB_1|Chain	alpha	183	PDB_direct
90	1GBS_1|Chain	alpha	185	PDB_direct
91	1ATZ_1|Chains	alpha	189	PDB_direct
