Order	PDB_Chain	Type	Length	Max_Identity_to_Set
1	1AD8_3|Chain	alpha	10	0.0000
2	1BMV_1|Chain	alpha	11	0.0000
3	1B39_1|Chain	alpha	299	0.0334
4	1AVP_2|Chain	alpha	11	0.1000
5	1APF_1|Chain	alpha	49	0.1111
6	1BB1_3|Chain	alpha	36	0.1220
7	1ALZ_1|Chain	alpha	16	0.1250
8	1ATP_2|Chain	alpha	20	0.1500
9	1AG2_1|Chain	alpha	103	0.1519
10	1ALF_1|Chain	alpha	19	0.1600
11	1AZP_2|Chain	alpha	66	0.1616
12	1ACX_1|Chain	alpha	108	0.1716
13	1AI0_2|Chains	alpha	30	0.1791
14	1BBA_1|Chain	alpha	36	0.1803
15	1BP2_1|Chain	alpha	123	0.1812
16	1B55_1|Chains	alpha	169	0.1848
17	1BUO_1|Chain	alpha	121	0.1852
18	1BHI_1|Chain	alpha	38	0.1930
19	1B41_2|Chain	alpha	61	0.1957
20	1BII_3|Chain	alpha	10	0.2000
21	1ENH_1|Chain	alpha	54	0.2000
22	1BE3_4|Chain	alpha	241	0.2000
23	1BDJ_2|Chain	alpha	125	0.2013
24	1AH9_1|Chain	alpha	71	0.2018
25	1BE3_7|Chain	alpha	81	0.2019
26	1ARB_1|Chain	alpha	268	0.2038
27	1AU7_2|Chain	alpha	24	0.2069
28	1AQZ_1|Chains	alpha	149	0.2091
29	1AMM_1|Chain	alpha	174	0.2099
30	1BV1_1|Chain	alpha	159	0.2103
31	1B7F_1|Chains	alpha	12	0.2105
32	1BDJ_1|Chain	alpha	128	0.2105
33	1BIG_1|Chain	alpha	37	0.2113
34	1B3A_1|Chains	alpha	67	0.2131
35	1P68_1|Chain	alpha	102	0.2140
36	1PIN_1|Chain	alpha	163	0.2140
37	1AQB_1|Chain	alpha	183	0.2143
38	1BII_2|Chain	alpha	119	0.2152
39	1B72_4|Chain	alpha	87	0.2155
40	1ASS_1|Chain	alpha	159	0.2161
41	1AD8_2|Chain	alpha	259	0.2171
42	1BGF_1|Chain	alpha	124	0.2174
43	1BMV_2|Chain	alpha	198	0.2184
44	1ROP_1|Chain	alpha	63	0.2185
45	1MJC_1|Chain	alpha	69	0.2188
46	1BEG_1|Chain	alpha	98	0.2189
47	1BAB_1|Chains	alpha	143	0.2190
48	1B8O_1|Chain	alpha	284	0.2197
49	1AFO_1|Chains	alpha	40	0.2198
50	1BMF_3|Chain	alpha	272	0.2201
51	1BEA_1|Chain	alpha	127	0.2201
52	1B68_1|Chain	alpha	191	0.2203
53	1BJ1_3|Chains	alpha	102	0.2216
54	1ATN_2|Chain	alpha	260	0.2232
55	1AKI_1|Chain	alpha	129	0.2235
56	1BE3_5|Chain	alpha	196	0.2241
57	1BK7_1|Chain	alpha	190	0.2246
58	1AGR_2|Chains	alpha	205	0.2253
59	1BNL_1|Chains	alpha	178	0.2255
60	1AIG_1|Chains	alpha	281	0.2256
61	1BM8_1|Chain	alpha	99	0.2256
62	1AL0_4|Chain	alpha	120	0.2256
63	1BBL_1|Chain	alpha	51	0.2258
64	1BID_1|Chain	alpha	265	0.2261
65	1B87_1|Chain	alpha	181	0.2267
66	1AF7_1|Chain	alpha	274	0.2269
67	1B5E_1|Chains	alpha	246	0.2273
68	1AR1_4|Chain	alpha	120	0.2277
69	1AJJ_1|Chain	alpha	37	0.2286
70	1BE3_6|Chain	alpha	110	0.2287
71	1BPV_1|Chain	alpha	112	0.2287
72	1BXL_1|Chain	alpha	221	0.2287
73	1BJ1_2|Chains	alpha	231	0.2291
74	1BA4_1|Chain	alpha	40	0.2292
75	1ARR_1|Chains	alpha	53	0.2297
76	1AX8_1|Chain	alpha	146	0.2299
77	1AKK_1|Chain	alpha	104	0.2303
78	1BSM_1|Chains	alpha	201	0.2306
79	1AI0_1|Chains	alpha	21	0.2308
80	1BE3_11|Chain	alpha	56	0.2308
81	1AEY_1|Chain	alpha	62	0.2308
82	1AN8_1|Chain	alpha	208	0.2310
83	1BF6_1|Chains	alpha	291	0.2313
84	1AY7_1|Chain	alpha	96	0.2313
85	1EYE_1|Chain	alpha	280	0.2315
86	1BAR_1|Chains	alpha	140	0.2320
87	1BL0_3|Chain	alpha	129	0.2321
88	1PGB_1|Chain	alpha	56	0.2323
89	1AWC_4|Chain	alpha	153	0.2325
90	1BH9_2|Chain	alpha	89	0.2328
91	1AS5_1|Chain	alpha	25	0.2333
92	1ANG_1|Chain	alpha	123	0.2333
93	1AR1_2|Chain	alpha	298	0.2335
94	1DSG_1|Chain	alpha	292	0.2341
95	1ACF_1|Chain	alpha	125	0.2341
96	1BIU_1|Chains	alpha	166	0.2342
97	1BBH_1|Chains	alpha	131	0.2344
98	1BKR_1|Chain	alpha	109	0.2353
99	1BYN_1|Chain	alpha	128	0.2360
100	1B4F_1|Chains	alpha	82	0.2364
101	1BIW_1|Chains	alpha	173	0.2364
102	1BHN_1|Chains	alpha	152	0.2366
103	1AL0_3|Chain	alpha	175	0.2366
104	1BJF_1|Chains	alpha	193	0.2367
105	1BE3_8|Chain	alpha	78	0.2368
106	1BGC_1|Chain	alpha	174	0.2373
107	1AMP_1|Chain	alpha	291	0.2373
108	1AN1_2|Chain	alpha	46	0.2375
109	1AZ5_1|Chain	alpha	99	0.2376
110	1BTH_3|Chains	alpha	58	0.2376
111	1ATG_1|Chain	alpha	231	0.2379
112	1BN6_1|Chain	alpha	294	0.2380
113	1BXL_2|Chain	alpha	16	0.2381
114	1AWC_3|Chain	alpha	110	0.2381
115	1AVW_2|Chain	alpha	177	0.2386
116	1ATZ_1|Chains	alpha	189	0.2387
117	1BH9_1|Chain	alpha	45	0.2388
118	1HTM_1|Chains	alpha	27	0.2391
119	1AT0_1|Chain	alpha	145	0.2391
120	1BKB_1|Chain	alpha	136	0.2393
121	1AVP_1|Chain	alpha	204	0.2393
122	1BR6_1|Chain	alpha	268	0.2395
123	1AUO_1|Chains	alpha	218	0.2397
124	1WRP_1|Chain	alpha	107	0.2400
125	1B7T_2|Chain	alpha	156	0.2402
126	1AP8_1|Chain	alpha	213	0.2404
127	1AU7_3|Chains	alpha	146	0.2407
128	1ARE_1|Chain	alpha	29	0.2407
129	1RGS_1|Chain	alpha	288	0.2408
130	1BZO_1|Chain	alpha	151	0.2408
131	1BQ9_1|Chain	alpha	54	0.2410
132	1BFE_1|Chain	alpha	119	0.2411
133	1A68_1|Chain	alpha	95	0.2412
134	1PEF_1|Chain	alpha	18	0.2414
135	1AXC_1|Chains	alpha	261	0.2415
136	1AOH_1|Chains	alpha	147	0.2415
137	1AQ5_1|Chains	alpha	47	0.2418
138	1GBS_1|Chain	alpha	185	0.2419
139	1AIG_3|Chains	alpha	260	0.2420
140	1AEP_1|Chain	alpha	161	0.2423
141	1AKH_4|Chain	alpha	83	0.2424
142	1BTL_1|Chain	alpha	263	0.2434
143	1BMC_1|Chain	alpha	221	0.2435
144	1BJ7_1|Chain	alpha	156	0.2435
145	1VCC_1|Chain	alpha	77	0.2437
146	1B00_1|Chains	alpha	127	0.2439
147	1AJ3_1|Chain	alpha	110	0.2440
148	1BIX_1|Chain	alpha	287	0.2442
149	1AYF_1|Chains	alpha	105	0.2444
150	1APS_1|Chain	alpha	98	0.2447
151	1B9B_1|Chains	alpha	255	0.2448
152	1BS9_1|Chain	alpha	207	0.2451
153	1FSD_1|Chain	alpha	28	0.2453
154	1ERC_1|Chain	alpha	40	0.2459
155	1B67_1|Chains	alpha	68	0.2460
156	1B7T_3|Chain	alpha	156	0.2462
157	1BO9_1|Chain	alpha	73	0.2464
158	1AM7_1|Chains	alpha	158	0.2465
159	1B16_1|Chains	alpha	254	0.2467
160	1B7F_2|Chains	alpha	168	0.2468
161	1B8E_1|Chain	alpha	162	0.2470
162	1B2M_2|Chains	alpha	104	0.2471
163	1BY2_1|Chain	alpha	119	0.2473
164	1AL0_1|Chains	alpha	152	0.2477
165	1BG8_1|Chains	alpha	89	0.2479
166	1B4B_1|Chains	alpha	71	0.2483
167	1BRN_2|Chains	alpha	110	0.2485
168	1BYI_1|Chain	alpha	224	0.2486
169	1B0N_1|Chain	alpha	111	0.2486
170	1ADL_1|Chain	alpha	131	0.2489
171	1BZP_1|Chain	alpha	153	0.2490
172	1ASH_1|Chain	alpha	150	0.2500
173	1BHH_1|Chain	alpha	108	0.2517
174	1TOP_1|Chain	alpha	162	0.2520
175	1AAR_1|Chains	alpha	76	0.2523
176	1ABA_1|Chain	alpha	87	0.2541
177	1B2U_2|Chains	alpha	90	0.2541
178	1BB9_1|Chain	alpha	115	0.2541
179	1B0N_2|Chain	alpha	57	0.2549
180	1BE3_10|Chain	alpha	62	0.2553
181	1AHO_1|Chain	alpha	64	0.2556
182	1BKF_1|Chain	alpha	107	0.2561
183	1B3T_2|Chains	alpha	147	0.2569
184	2TRX_1|Chains	alpha	108	0.2569
185	1BL8_1|Chains	alpha	97	0.2577
186	1BCF_1|Chains	alpha	158	0.2582
187	1BE3_9|Chain	alpha	78	0.2599
188	1BX7_1|Chain	alpha	55	0.2603
189	1A3A_1|Chains	alpha	148	0.2605
190	1BIN_1|Chains	alpha	143	0.2627
191	1AV1_1|Chains	alpha	201	0.2645
192	1BH1_1|Chain	alpha	27	0.2647
193	1BLX_2|Chain	alpha	166	0.2659
194	1ALC_1|Chain	alpha	123	0.2663
195	1BDC_1|Chain	alpha	60	0.2667
196	1HTM_2|Chains	alpha	138	0.2672
197	1BTH_1|Chains	alpha	36	0.2676
198	1BLC_1|Chain	alpha	257	0.2683
199	1B72_3|Chain	alpha	97	0.2689
200	1AXC_2|Chains	alpha	22	0.2692
201	1AIL_1|Chain	alpha	73	0.2700
202	1ABV_1|Chain	alpha	134	0.2709
203	1AB1_1|Chain	alpha	46	0.2727
204	1BIV_2|Chain	alpha	17	0.2759
205	1POU_1|Chain	alpha	71	0.2765
206	1AKH_3|Chain	alpha	61	0.2778
207	1BAI_1|Chains	alpha	124	0.2816
208	1BIT_1|Chain	alpha	237	0.2883
