Order	PDB_Chain	Type	Length	Max_Identity_to_Set
1	1BII_3|Chain	alpha	10	0.0000
2	1BB1_1|Chain	alpha	36	0.0455
3	1BIV_1|Chain	alpha	28	0.0857
4	1BE3_8|Chain	alpha	78	0.1176
5	1ALZ_1|Chain	alpha	16	0.1304
6	1ALF_1|Chain	alpha	19	0.1458
7	1BL8_1|Chains	alpha	97	0.1466
8	1B17_1|Chain	alpha	21	0.1562
9	1B41_2|Chain	alpha	61	0.1583
10	1AD8_3|Chain	alpha	10	0.1600
11	1HTM_1|Chains	alpha	27	0.1733
12	1BH9_1|Chain	alpha	45	0.1778
13	1BPI_1|Chain	alpha	58	0.1826
14	1BNZ_2|Chain	alpha	64	0.1933
15	1AKH_2|Chain	alpha	21	0.1951
16	1APS_1|Chain	alpha	98	0.1963
17	1BE3_10|Chain	alpha	62	0.1966
18	1ATP_2|Chain	alpha	20	0.2000
19	1B72_4|Chain	alpha	87	0.2016
20	1AHO_1|Chain	alpha	64	0.2019
21	1ERC_1|Chain	alpha	40	0.2024
22	1AY7_1|Chain	alpha	96	0.2062
23	1B2U_2|Chains	alpha	90	0.2123
24	1BH9_2|Chain	alpha	89	0.2143
25	1B4B_1|Chains	alpha	71	0.2174
26	1BIG_1|Chain	alpha	37	0.2179
27	1VCC_1|Chain	alpha	77	0.2200
28	1B0N_2|Chain	alpha	57	0.2203
29	1AS5_1|Chain	alpha	25	0.2206
30	1POU_1|Chain	alpha	71	0.2214
31	1BE3_7|Chain	alpha	81	0.2222
32	1PGB_1|Chain	alpha	56	0.2245
33	1B4F_1|Chains	alpha	82	0.2245
34	1B72_3|Chain	alpha	97	0.2267
35	1AD8_1|Chain	alpha	36	0.2273
36	1BO9_1|Chain	alpha	73	0.2273
37	1AFO_1|Chains	alpha	40	0.2289
38	1BA4_1|Chain	alpha	40	0.2292
39	1BG8_1|Chains	alpha	89	0.2296
40	1AVP_2|Chain	alpha	11	0.2308
41	1FSD_1|Chain	alpha	28	0.2308
42	1ARE_1|Chain	alpha	29	0.2308
43	1BRF_1|Chain	alpha	53	0.2316
44	1AZ5_1|Chain	alpha	99	0.2319
45	1AJJ_1|Chain	alpha	37	0.2338
46	1BEG_1|Chain	alpha	98	0.2342
47	1ARR_1|Chains	alpha	53	0.2360
48	1AN1_2|Chain	alpha	46	0.2375
49	1ABA_1|Chain	alpha	87	0.2377
50	1BXL_2|Chain	alpha	16	0.2381
51	1AQ5_1|Chains	alpha	47	0.2388
52	1APH_2|Chain	alpha	30	0.2391
53	1BK2_1|Chain	alpha	57	0.2391
54	1A68_1|Chain	alpha	95	0.2394
55	1B3A_1|Chains	alpha	67	0.2406
56	1BBL_1|Chain	alpha	51	0.2429
57	1MJC_1|Chain	alpha	69	0.2430
58	1AB1_1|Chain	alpha	46	0.2432
59	1BHI_1|Chain	alpha	38	0.2453
60	1AAR_1|Chains	alpha	76	0.2453
61	1BBA_1|Chain	alpha	36	0.2459
62	1BM8_1|Chain	alpha	99	0.2464
63	1BDD_1|Chain	alpha	60	0.2476
64	1B67_1|Chains	alpha	68	0.2530
65	1ROP_1|Chain	alpha	63	0.2541
66	1AH9_1|Chain	alpha	71	0.2549
67	1BE3_11|Chain	alpha	56	0.2553
68	1APF_1|Chain	alpha	49	0.2556
69	1PEF_1|Chain	alpha	18	0.2558
70	1BE3_9|Chain	alpha	78	0.2590
71	1AIL_1|Chain	alpha	73	0.2593
72	1BX7_1|Chain	alpha	55	0.2603
73	1BH1_1|Chain	alpha	27	0.2647
74	1AKH_3|Chain	alpha	61	0.2650
75	1AXC_2|Chains	alpha	22	0.2692
76	1BIV_2|Chain	alpha	17	0.2759
77	1ENH_1|Chain	alpha	54	0.2778
78	1AKH_4|Chain	alpha	83	0.2783
79	1B7F_1|Chains	alpha	12	0.2903
80	1VII_1|Chain	alpha	36	0.2982
81	1CTF_1|Chain	alpha	74	0.3125
82	1ZIF_1|Chain	alpha	12	0.3333
83	1BWG_2|Chain	alpha	14	0.3462
84	1AWC_1|Chain	alpha	21	0.3611
85	1BL0_1|Chain	alpha	24	0.3846
86	1AWC_2|Chain	alpha	21	0.4062
87	1BL0_2|Chain	alpha	24	0.4118
88	1B72_1|Chain	alpha	20	0.4194
89	1AU7_1|Chain	alpha	25	0.4516
90	1ATO_1|Chain	alpha	19	0.4688
91	1BWG_1|Chain	alpha	14	0.4783
92	1B3T_1|Chains	alpha	18	0.5000
93	1BT0_1|Chain	alpha	76	0.5050
94	1BMV_1|Chain	alpha	11	0.5333
95	1B72_2|Chain	alpha	20	0.5517
96	1AKH_1|Chain	alpha	21	0.6154
97	1BB1_2|Chain	alpha	36	0.6364
98	1BB1_3|Chain	alpha	36	0.6744
99	1AZP_2|Chain	alpha	66	0.7105
100	1ALZ_2|Chain	alpha	16	0.7778
101	1AU7_2|Chain	alpha	24	0.8148
102	1APH_1|Chain	alpha	21	0.8261
103	1SHG_1|Chain	alpha	62	0.8889
104	1ARF_1|Chain	alpha	29	0.9333
105	1AI0_2|Chains	alpha	30	0.9355
106	1CRN_1|Chain	alpha	46	0.9574
107	1AY7_2|Chain	alpha	89	0.9670
108	1BQ9_1|Chain	alpha	54	0.9815
109	1BF4_3|Chain	alpha	63	0.9844
