Order	PDB_Chain	Length	Max_Identity_to_Set
1	1BDD_1|Chain	60	0.0000
2	1FE1_1|Chains	169	0.0000
3	1AGL_1|Chain	6	0.0312
4	1EYE_1|Chain	280	0.1148
5	1AVP_2|Chain	11	0.1333
6	1CRN_1|Chain	46	0.1648
7	1P68_1|Chain	102	0.1739
8	1FE1_6|Chains	30	0.1775
9	1HTM_1|Chains	27	0.1786
10	1VII_1|Chain	36	0.1852
11	1PGB_1|Chain	56	0.1860
12	1PIN_1|Chain	163	0.1883
13	1FSD_1|Chain	28	0.1892
14	1APS_1|Chain	98	0.1972
15	1VCC_1|Chain	77	0.2018
16	1BBA_1|Chain	36	0.2059
17	1DSG_1|Chain	292	0.2068
18	1GBS_1|Chain	185	0.2094
19	1WRP_1|Chain	107	0.2105
20	1AVP_1|Chain	204	0.2152
21	1TOP_1|Chain	162	0.2172
22	1MJC_1|Chain	69	0.2190
23	1RGS_1|Chain	288	0.2215
24	1OVA_1|Chain	386	0.2243
25	1SHG_1|Chain	62	0.2243
26	2TRX_1|Chains	108	0.2378
27	1ROP_1|Chain	63	0.2424
28	1HTM_2|Chains	138	0.2448
29	1ERC_1|Chain	40	0.2459
30	1CTF_1|Chain	74	0.2466
31	1POU_1|Chain	71	0.2476
32	1UBQ_1|Chain	76	0.2523
33	1PEF_1|Chain	18	0.2558
34	1ENH_1|Chain	54	0.2667
35	1ZIF_1|Chain	12	0.2857
36	1FE1_9|Chains	87	0.5148
37	1FE1_7|Chains	312	0.5417
38	1FE1_5|Chains	40	0.7500
39	1FE1_8|Chains	115	0.7565
40	1FE1_4|Chains	155	0.9172
41	1FE1_2|Chains	174	0.9713
42	1FE1_3|Chains	156	0.9936
