Order	PDB_Chain	Type	Length	Max_Identity_to_Set
1	1AD8_3|Chain	alpha	10	0.0000
2	1BMV_1|Chain	alpha	11	0.0000
3	1AQZ_1|Chains	alpha	149	0.0530
4	1AVP_2|Chain	alpha	11	0.1000
5	1BB1_3|Chain	alpha	36	0.1220
6	1ALZ_1|Chain	alpha	16	0.1250
7	1BHI_1|Chain	alpha	38	0.1429
8	1AB1_1|Chain	alpha	46	0.1549
9	1AS5_1|Chain	alpha	25	0.1639
10	1BA4_1|Chain	alpha	40	0.1642
11	1BII_3|Chain	alpha	10	0.1667
12	1AG2_1|Chain	alpha	103	0.1667
13	1BRF_1|Chain	alpha	53	0.1786
14	1AYF_1|Chains	alpha	105	0.1814
15	1BE3_8|Chain	alpha	78	0.1883
16	1BBA_1|Chain	alpha	36	0.1884
17	1BIG_1|Chain	alpha	37	0.1905
18	1BE3_7|Chain	alpha	81	0.1923
19	1AFO_1|Chains	alpha	40	0.1940
20	1ACX_1|Chain	alpha	108	0.1953
21	1APS_1|Chain	alpha	98	0.1984
22	1ATP_2|Chain	alpha	20	0.2000
23	1ENH_1|Chain	alpha	54	0.2000
24	1PGB_1|Chain	alpha	56	0.2015
25	1BDJ_1|Chain	alpha	128	0.2021
26	1AHO_1|Chain	alpha	64	0.2062
27	1BP2_1|Chain	alpha	123	0.2067
28	1B17_2|Chain	alpha	30	0.2069
29	1BB9_1|Chain	alpha	115	0.2099
30	1B7F_1|Chains	alpha	12	0.2105
31	1BDJ_2|Chain	alpha	125	0.2120
32	1SHG_1|Chain	alpha	62	0.2143
33	1ANG_1|Chain	alpha	123	0.2143
34	1AKK_1|Chain	alpha	104	0.2151
35	1B41_2|Chain	alpha	61	0.2159
36	1B72_4|Chain	alpha	87	0.2166
37	1P68_1|Chain	alpha	102	0.2176
38	1BAB_1|Chains	alpha	143	0.2184
39	1BJ1_3|Chains	alpha	102	0.2200
40	1BEO_1|Chain	alpha	98	0.2203
41	1BTH_3|Chains	alpha	58	0.2208
42	1BEA_1|Chain	alpha	127	0.2211
43	1VCC_1|Chain	alpha	77	0.2215
44	1ALC_1|Chain	alpha	123	0.2217
45	1BT0_1|Chain	alpha	76	0.2222
46	1BII_2|Chain	alpha	119	0.2222
47	1BGF_1|Chain	alpha	124	0.2228
48	1AR1_3|Chain	alpha	127	0.2240
49	1BE3_6|Chain	alpha	110	0.2241
50	1BL0_3|Chain	alpha	129	0.2247
51	1B2U_2|Chains	alpha	90	0.2264
52	1AL0_4|Chain	alpha	120	0.2266
53	1BKF_1|Chain	alpha	107	0.2267
54	1BYN_1|Chain	alpha	128	0.2275
55	1AR1_4|Chain	alpha	120	0.2277
56	1BAR_1|Chains	alpha	140	0.2284
57	1B2U_1|Chains	alpha	110	0.2286
58	1ALF_1|Chain	alpha	19	0.2292
59	1BZ4_1|Chain	alpha	144	0.2294
60	1ARR_1|Chains	alpha	53	0.2297
61	1B17_1|Chain	alpha	21	0.2308
62	1BE3_11|Chain	alpha	56	0.2315
63	1BNZ_2|Chain	alpha	64	0.2316
64	1BH9_2|Chain	alpha	89	0.2328
65	1AOH_1|Chains	alpha	147	0.2332
66	1AJJ_1|Chain	alpha	37	0.2338
67	1BBH_1|Chains	alpha	131	0.2344
68	1BFE_1|Chain	alpha	119	0.2350
69	1BKR_1|Chain	alpha	109	0.2353
70	1BAI_1|Chains	alpha	124	0.2353
71	1BUO_1|Chain	alpha	121	0.2356
72	1B4F_1|Chains	alpha	82	0.2364
73	1AQ5_1|Chains	alpha	47	0.2376
74	1ABA_1|Chain	alpha	87	0.2377
75	1BXL_2|Chain	alpha	16	0.2381
76	1AWC_3|Chain	alpha	110	0.2381
77	1BH9_1|Chain	alpha	45	0.2388
78	1HTM_1|Chains	alpha	27	0.2391
79	1AT0_1|Chain	alpha	145	0.2391
80	1A68_1|Chain	alpha	95	0.2394
81	1B0N_2|Chain	alpha	57	0.2396
82	1B72_1|Chain	alpha	20	0.2400
83	1WRP_1|Chain	alpha	107	0.2400
84	1ARF_1|Chain	alpha	29	0.2407
85	1PEF_1|Chain	alpha	18	0.2414
86	1HTM_2|Chains	alpha	138	0.2415
87	1B3A_1|Chains	alpha	67	0.2418
88	1AJ3_1|Chain	alpha	110	0.2422
89	1AN1_2|Chain	alpha	46	0.2432
90	1BHH_1|Chain	alpha	108	0.2434
91	1B00_1|Chains	alpha	127	0.2439
92	1AX8_1|Chain	alpha	146	0.2442
93	1AU7_3|Chains	alpha	146	0.2446
94	1BKB_1|Chain	alpha	136	0.2447
95	1FSD_1|Chain	alpha	28	0.2453
96	1ERC_1|Chain	alpha	40	0.2459
97	1B2M_2|Chains	alpha	104	0.2471
98	1BY2_1|Chain	alpha	119	0.2473
99	1BG8_1|Chains	alpha	89	0.2479
100	1B4B_1|Chains	alpha	71	0.2483
101	1AY7_1|Chain	alpha	96	0.2485
102	1ADL_1|Chain	alpha	131	0.2489
103	1B0N_1|Chain	alpha	111	0.2500
104	1ACF_1|Chain	alpha	125	0.2500
105	1ASH_1|Chain	alpha	150	0.2500
106	1A3A_1|Chains	alpha	148	0.2511
107	1BO9_1|Chain	alpha	73	0.2521
108	1ROP_1|Chain	alpha	63	0.2541
109	1BPV_1|Chain	alpha	112	0.2541
110	1AH9_1|Chain	alpha	71	0.2549
111	1BE3_10|Chain	alpha	62	0.2553
112	1APF_1|Chain	alpha	49	0.2556
113	1BM8_1|Chain	alpha	99	0.2561
114	1B3T_2|Chains	alpha	147	0.2569
115	2TRX_1|Chains	alpha	108	0.2569
116	1BL8_1|Chains	alpha	97	0.2577
117	1BE3_9|Chain	alpha	78	0.2599
118	1BX7_1|Chain	alpha	55	0.2603
119	1BIN_1|Chains	alpha	143	0.2627
120	1B67_1|Chains	alpha	68	0.2632
121	1BH1_1|Chain	alpha	27	0.2647
122	1AKI_1|Chain	alpha	129	0.2663
123	1BDC_1|Chain	alpha	60	0.2667
124	1BTH_1|Chains	alpha	36	0.2676
125	1B72_3|Chain	alpha	97	0.2689
126	1AXC_2|Chains	alpha	22	0.2692
127	1AIL_1|Chain	alpha	73	0.2700
128	1ABV_1|Chain	alpha	134	0.2709
129	1BIV_2|Chain	alpha	17	0.2759
130	1POU_1|Chain	alpha	71	0.2765
131	1AKH_3|Chain	alpha	61	0.2778
132	1AKH_4|Chain	alpha	83	0.2783
133	1AZ5_1|Chain	alpha	99	0.2816
134	1VII_1|Chain	alpha	36	0.2982
135	1ATO_1|Chain	alpha	19	0.3043
136	1CTF_1|Chain	alpha	74	0.3125
137	1BAB_2|Chains	alpha	146	0.3196
138	1AWC_1|Chain	alpha	21	0.3226
139	1BL0_1|Chain	alpha	24	0.3750
140	1AWC_2|Chain	alpha	21	0.4062
141	1AKH_1|Chain	alpha	21	0.4062
142	1B72_2|Chain	alpha	20	0.4138
143	1BL0_2|Chain	alpha	24	0.4194
144	1BIV_1|Chain	alpha	28	0.4688
145	1BWG_1|Chain	alpha	14	0.4783
146	1BWG_2|Chain	alpha	14	0.4783
147	1B3T_1|Chains	alpha	18	0.5000
148	1AAR_1|Chains	alpha	76	0.5050
149	1BIP_1|Chain	alpha	122	0.5091
150	1AU7_2|Chain	alpha	24	0.5172
151	1BB1_2|Chain	alpha	36	0.5319
152	1ZIF_1|Chain	alpha	12	0.5333
153	1AKH_2|Chain	alpha	21	0.6154
154	1BB1_1|Chain	alpha	36	0.6744
155	1AZP_2|Chain	alpha	66	0.7105
156	1ALZ_2|Chain	alpha	16	0.7778
157	1AU7_1|Chain	alpha	25	0.8148
158	1APH_1|Chain	alpha	21	0.8261
159	1B9O_1|Chain	alpha	123	0.8779
160	1BK2_1|Chain	alpha	57	0.8889
161	1ARE_1|Chain	alpha	29	0.9333
162	1AI0_2|Chains	alpha	30	0.9355
163	1BHH_2|Chain	alpha	103	0.9537
164	1CRN_1|Chain	alpha	46	0.9574
165	1BIR_1|Chains	alpha	104	0.9623
166	1AY7_2|Chain	alpha	89	0.9670
167	1BUW_1|Chains	alpha	141	0.9722
168	1BQ9_1|Chain	alpha	54	0.9815
169	1BRN_2|Chains	alpha	110	0.9820
170	1B1U_1|Chain	alpha	122	0.9837
171	1BF4_3|Chain	alpha	63	0.9844
