Order	PDB_Chain	Type	Length	Similarity	Source
1	1AD8_3|Chain	alpha	10	0.0000	selection/pdb_direct_alpha_selection_info.tsv
2	1BII_3|Chain	alpha	10	0.0000	selection/optimal_small_alpha_selection_info.tsv
3	1CKA_2|Chain	alpha	10	0.0000	selection/huge_pdb_alpha_selection_info.tsv
4	1CU4_3|Chain	alpha	10	0.0000	selection/huge_pdb_alpha_selection_info.tsv
5	1DI2_1|Chains	alpha	10	0.0000	selection/huge_pdb_alpha_selection_info.tsv
6	1EB1_1|Chain	alpha	10	0.0000	selection/huge_pdb_alpha_selection_info.tsv
7	1AVP_2|Chain	alpha	11	0.0000	selection/pdb_direct_alpha_selection_info.tsv
8	1CVJ_1|Chains	alpha	11	0.0000	selection/huge_pdb_alpha_selection_info.tsv
9	1D4T_2|Chain	alpha	11	0.0000	selection/huge_pdb_alpha_selection_info.tsv
10	1E3O_1|Chain	alpha	11	0.0000	selection/huge_pdb_alpha_selection_info.tsv
11	1BMV_1|Chain	alpha	11	0.5333	selection/optimal_small_alpha_selection_info.tsv
12	1ZIF_1|Chain	alpha	12	0.0000	selection/pdb_direct_alpha_selection_info.tsv
13	1DNE_1|Chains	alpha	12	0.0000	selection/huge_pdb_alpha_selection_info.tsv
14	1B7F_1|Chains	alpha	12	0.2903	selection/optimal_small_alpha_selection_info.tsv
15	1CA0_1|Chains	alpha	13	0.0000	selection/huge_pdb_alpha_selection_info.tsv
16	1CMI_2|Chains	alpha	13	0.0000	selection/huge_pdb_alpha_selection_info.tsv
17	1CQG_2|Chain	alpha	13	0.0000	selection/huge_pdb_alpha_selection_info.tsv
18	1CSL_1|Chain	alpha	13	0.0000	selection/huge_pdb_alpha_selection_info.tsv
19	1ETL_1|Chain	alpha	13	0.0000	selection/huge_pdb_alpha_selection_info.tsv
20	1EYU_1|Chains	alpha	13	0.0000	selection/huge_pdb_alpha_selection_info.tsv
21	1DN2_2|Chains	alpha	14	0.0000	selection/huge_pdb_alpha_selection_info.tsv
22	1BWG_2|Chain	alpha	14	0.3462	selection/optimal_small_alpha_selection_info.tsv
23	1E6I_2|Chain	alpha	15	0.0000	selection/huge_pdb_alpha_selection_info.tsv
24	1ALZ_2|Chain	alpha	16	0.0000	selection/pdb_direct_alpha_selection_info.tsv
25	1CF7_1|Chain	alpha	16	0.0000	selection/huge_pdb_alpha_selection_info.tsv
26	1DP7_1|Chain	alpha	16	0.0000	selection/huge_pdb_alpha_selection_info.tsv
27	1ECR_1|Chain	alpha	16	0.0000	selection/huge_pdb_alpha_selection_info.tsv
28	1BXL_2|Chain	alpha	16	0.2381	selection/optimal_small_alpha_selection_info.tsv
29	1E0Q_1|Chain	alpha	17	0.0000	selection/huge_pdb_alpha_selection_info.tsv
30	1PEF_1|Chain	alpha	18	0.0000	selection/pdb_direct_alpha_selection_info.tsv
31	1B3T_1|Chains	alpha	18	0.5000	selection/optimal_small_alpha_selection_info.tsv
32	1ALF_1|Chain	alpha	19	0.0000	selection/pdb_direct_alpha_selection_info.tsv
33	1DFU_1|Chain	alpha	19	0.0000	selection/huge_pdb_alpha_selection_info.tsv
34	1ATO_1|Chain	alpha	19	0.4688	selection/optimal_small_alpha_selection_info.tsv
35	1ATP_2|Chain	alpha	20	0.0000	selection/pdb_direct_alpha_selection_info.tsv
36	1AI0_1|Chains	alpha	21	0.0000	selection/pdb_direct_alpha_selection_info.tsv
37	1AKH_1|Chain	alpha	21	0.0000	selection/pdb_direct_alpha_selection_info.tsv
38	1AWC_2|Chain	alpha	21	0.0000	selection/pdb_direct_alpha_selection_info.tsv
39	1DH3_1|Chains	alpha	21	0.0000	selection/huge_pdb_alpha_selection_info.tsv
40	1B17_1|Chain	alpha	21	0.1562	selection/optimal_small_alpha_selection_info.tsv
41	1AXC_2|Chains	alpha	22	0.0000	selection/pdb_direct_alpha_selection_info.tsv
42	1DZ5_2|Chains	alpha	22	0.0000	selection/huge_pdb_alpha_selection_info.tsv
43	1DZI_2|Chains	alpha	22	0.0000	selection/huge_pdb_alpha_selection_info.tsv
44	1ERF_1|Chain	alpha	24	0.0000	selection/huge_pdb_alpha_selection_info.tsv
45	1BL0_1|Chain	alpha	24	0.3846	selection/optimal_small_alpha_selection_info.tsv
46	1AS5_1|Chain	alpha	25	0.0000	selection/pdb_direct_alpha_selection_info.tsv
47	1CM1_2|Chain	alpha	25	0.0000	selection/huge_pdb_alpha_selection_info.tsv
48	1AU7_1|Chain	alpha	25	0.4516	selection/optimal_small_alpha_selection_info.tsv
49	1HTM_1|Chains	alpha	27	0.0000	selection/pdb_direct_alpha_selection_info.tsv
50	1E0N_1|Chain	alpha	27	0.0000	selection/huge_pdb_alpha_selection_info.tsv
51	1BH1_1|Chain	alpha	27	0.2647	selection/optimal_small_alpha_selection_info.tsv
52	1FSD_1|Chain	alpha	28	0.0000	selection/pdb_direct_alpha_selection_info.tsv
53	1CQ0_1|Chain	alpha	28	0.0000	selection/huge_pdb_alpha_selection_info.tsv
54	1DME_1|Chain	alpha	28	0.0000	selection/huge_pdb_alpha_selection_info.tsv
55	1BIV_1|Chain	alpha	28	0.0857	selection/optimal_small_alpha_selection_info.tsv
56	1ARE_1|Chain	alpha	29	0.0000	selection/pdb_direct_alpha_selection_info.tsv
57	1ARF_1|Chain	alpha	29	0.9333	selection/optimal_small_alpha_selection_info.tsv
58	1E3M_2|Chain	alpha	30	0.0000	selection/huge_pdb_alpha_selection_info.tsv
59	1APH_2|Chain	alpha	30	0.2391	selection/optimal_small_alpha_selection_info.tsv
60	1COI_1|Chain	alpha	31	0.0000	selection/huge_pdb_alpha_selection_info.tsv
61	1CLV_2|Chain	alpha	32	0.0000	selection/huge_pdb_alpha_selection_info.tsv
62	1DPJ_2|Chain	alpha	33	0.0000	selection/huge_pdb_alpha_selection_info.tsv
63	1EHK_3|Chain	alpha	33	0.0000	selection/huge_pdb_alpha_selection_info.tsv
64	1D1H_1|Chain	alpha	35	0.0000	selection/huge_pdb_alpha_selection_info.tsv
65	1VII_1|Chain	alpha	36	0.0000	selection/pdb_direct_alpha_selection_info.tsv
66	1BBA_1|Chain	alpha	36	0.0000	selection/pdb_direct_alpha_selection_info.tsv
67	1CBH_1|Chain	alpha	36	0.0000	selection/huge_pdb_alpha_selection_info.tsv
68	1CTA_1|Chains	alpha	36	0.0000	selection/huge_pdb_alpha_selection_info.tsv
69	1DXG_1|Chains	alpha	36	0.0000	selection/huge_pdb_alpha_selection_info.tsv
70	1BB1_1|Chain	alpha	36	0.0455	selection/optimal_small_alpha_selection_info.tsv
71	1AJJ_1|Chain	alpha	37	0.0000	selection/pdb_direct_alpha_selection_info.tsv
72	1E0L_1|Chain	alpha	37	0.0000	selection/huge_pdb_alpha_selection_info.tsv
73	1E0M_1|Chain	alpha	37	0.0000	selection/huge_pdb_alpha_selection_info.tsv
74	1BIG_1|Chain	alpha	37	0.2179	selection/optimal_small_alpha_selection_info.tsv
75	1BHI_1|Chain	alpha	38	0.2453	selection/optimal_small_alpha_selection_info.tsv
76	1ERC_1|Chain	alpha	40	0.0000	selection/pdb_direct_alpha_selection_info.tsv
77	1AFO_1|Chains	alpha	40	0.0000	selection/pdb_direct_alpha_selection_info.tsv
78	1ERD_1|Chain	alpha	40	0.0000	selection/huge_pdb_alpha_selection_info.tsv
79	1BA4_1|Chain	alpha	40	0.2292	selection/optimal_small_alpha_selection_info.tsv
80	1EBD_2|Chain	alpha	41	0.0000	selection/huge_pdb_alpha_selection_info.tsv
81	1BH9_1|Chain	alpha	45	0.1778	selection/optimal_small_alpha_selection_info.tsv
82	1CRN_1|Chain	alpha	46	0.0000	selection/pdb_direct_alpha_selection_info.tsv
83	1AN1_2|Chain	alpha	46	0.0000	selection/pdb_direct_alpha_selection_info.tsv
84	1AB1_1|Chain	alpha	46	0.2432	selection/optimal_small_alpha_selection_info.tsv
85	1AQ5_1|Chains	alpha	47	0.0000	selection/pdb_direct_alpha_selection_info.tsv
86	1DV0_1|Chain	alpha	47	0.0000	selection/huge_pdb_alpha_selection_info.tsv
87	1CW5_1|Chain	alpha	48	0.0000	selection/huge_pdb_alpha_selection_info.tsv
88	1APF_1|Chain	alpha	49	0.0000	selection/pdb_direct_alpha_selection_info.tsv
89	1E79_5|Chain	alpha	50	0.0000	selection/huge_pdb_alpha_selection_info.tsv
90	1E8O_3|Chain	alpha	50	0.0000	selection/huge_pdb_alpha_selection_info.tsv
91	1F62_1|Chain	alpha	51	0.0000	selection/huge_pdb_alpha_selection_info.tsv
92	1BBL_1|Chain	alpha	51	0.2429	selection/optimal_small_alpha_selection_info.tsv
93	1ARR_1|Chains	alpha	53	0.0000	selection/pdb_direct_alpha_selection_info.tsv
94	1BRF_1|Chain	alpha	53	0.2316	selection/optimal_small_alpha_selection_info.tsv
95	1ENH_1|Chain	alpha	54	0.0000	selection/pdb_direct_alpha_selection_info.tsv
96	1BQ9_1|Chain	alpha	54	0.9815	selection/optimal_small_alpha_selection_info.tsv
97	1EF4_1|Chain	alpha	55	0.0000	selection/huge_pdb_alpha_selection_info.tsv
98	1BX7_1|Chain	alpha	55	0.2603	selection/optimal_small_alpha_selection_info.tsv
99	1PGB_1|Chain	alpha	56	0.0000	selection/pdb_direct_alpha_selection_info.tsv
100	1CGI_2|Chain	alpha	56	0.0000	selection/huge_pdb_alpha_selection_info.tsv
101	1DTK_1|Chain	alpha	57	0.0000	selection/huge_pdb_alpha_selection_info.tsv
102	1B0N_2|Chain	alpha	57	0.2203	selection/optimal_small_alpha_selection_info.tsv
103	1BK2_1|Chain	alpha	57	0.2391	selection/optimal_small_alpha_selection_info.tsv
104	1D0D_2|Chain	alpha	58	0.0000	selection/huge_pdb_alpha_selection_info.tsv
105	1D6R_2|Chain	alpha	58	0.0000	selection/huge_pdb_alpha_selection_info.tsv
106	1FC2_1|Chain	alpha	58	0.0000	selection/huge_pdb_alpha_selection_info.tsv
107	1BPI_1|Chain	alpha	58	0.1826	selection/optimal_small_alpha_selection_info.tsv
108	1BTH_3|Chains	alpha	58	0.2376	selection/filtered_alpha_selection_info.tsv
109	1CDT_1|Chains	alpha	60	0.0000	selection/huge_pdb_alpha_selection_info.tsv
110	1BDD_1|Chain	alpha	60	0.2476	selection/optimal_small_alpha_selection_info.tsv
111	1BDC_1|Chain	alpha	60	0.2667	selection/filtered_alpha_selection_info.tsv
112	1DTD_2|Chain	alpha	61	0.0000	selection/huge_pdb_alpha_selection_info.tsv
113	1EAI_2|Chains	alpha	61	0.0000	selection/huge_pdb_alpha_selection_info.tsv
114	1FAS_1|Chain	alpha	61	0.0000	selection/huge_pdb_alpha_selection_info.tsv
115	1B41_2|Chain	alpha	61	0.1583	selection/optimal_small_alpha_selection_info.tsv
116	1SHG_1|Chain	alpha	62	0.0000	selection/pdb_direct_alpha_selection_info.tsv
117	1AEY_1|Chain	alpha	62	0.2308	selection/filtered_alpha_selection_info.tsv
118	1ROP_1|Chain	alpha	63	0.0000	selection/pdb_direct_alpha_selection_info.tsv
119	1F94_1|Chain	alpha	63	0.0000	selection/huge_pdb_alpha_selection_info.tsv
120	1BF4_3|Chain	alpha	63	0.9844	selection/optimal_small_alpha_selection_info.tsv
121	1AHO_1|Chain	alpha	64	0.0000	selection/pdb_direct_alpha_selection_info.tsv
122	1C8C_2|Chain	alpha	64	0.0000	selection/huge_pdb_alpha_selection_info.tsv
123	1COA_1|Chain	alpha	64	0.0000	selection/huge_pdb_alpha_selection_info.tsv
124	1BNZ_2|Chain	alpha	64	0.1933	selection/optimal_small_alpha_selection_info.tsv
125	1AZP_2|Chain	alpha	66	0.0000	selection/pdb_direct_alpha_selection_info.tsv
126	1C9O_1|Chains	alpha	66	0.0000	selection/huge_pdb_alpha_selection_info.tsv
127	1B3A_1|Chains	alpha	67	0.2406	selection/optimal_small_alpha_selection_info.tsv
128	1DF4_1|Chain	alpha	68	0.0000	selection/huge_pdb_alpha_selection_info.tsv
129	1B67_1|Chains	alpha	68	0.2530	selection/optimal_small_alpha_selection_info.tsv
130	1MJC_1|Chain	alpha	69	0.0000	selection/pdb_direct_alpha_selection_info.tsv
131	1DM0_2|Chains	alpha	69	0.0000	selection/huge_pdb_alpha_selection_info.tsv
132	1CSE_2|Chain	alpha	70	0.0000	selection/huge_pdb_alpha_selection_info.tsv
133	1POU_1|Chain	alpha	71	0.0000	selection/pdb_direct_alpha_selection_info.tsv
134	1AH9_1|Chain	alpha	71	0.0000	selection/pdb_direct_alpha_selection_info.tsv
135	1C75_1|Chain	alpha	71	0.0000	selection/huge_pdb_alpha_selection_info.tsv
136	1B4B_1|Chains	alpha	71	0.2174	selection/optimal_small_alpha_selection_info.tsv
137	1AIL_1|Chain	alpha	73	0.0000	selection/pdb_direct_alpha_selection_info.tsv
138	1CC7_1|Chain	alpha	73	0.0000	selection/huge_pdb_alpha_selection_info.tsv
139	1EIH_1|Chain	alpha	73	0.0000	selection/huge_pdb_alpha_selection_info.tsv
140	1BO9_1|Chain	alpha	73	0.2273	selection/optimal_small_alpha_selection_info.tsv
141	1CTF_1|Chain	alpha	74	0.0000	selection/pdb_direct_alpha_selection_info.tsv
142	1D3B_1|Chains	alpha	75	0.0000	selection/huge_pdb_alpha_selection_info.tsv
143	1UBQ_1|Chain	alpha	76	0.0000	selection/pdb_direct_alpha_selection_info.tsv
144	1ESR_1|Chain	alpha	76	0.0000	selection/huge_pdb_alpha_selection_info.tsv
145	1AAR_1|Chains	alpha	76	0.2453	selection/optimal_small_alpha_selection_info.tsv
146	1BT0_1|Chain	alpha	76	0.5050	selection/optimal_small_alpha_selection_info.tsv
147	1VCC_1|Chain	alpha	77	0.0000	selection/pdb_direct_alpha_selection_info.tsv
148	1CB1_1|Chain	alpha	78	0.0000	selection/huge_pdb_alpha_selection_info.tsv
149	1BE3_8|Chain	alpha	78	0.1176	selection/optimal_small_alpha_selection_info.tsv
150	1DAN_3|Chain	alpha	80	0.0000	selection/huge_pdb_alpha_selection_info.tsv
151	1B4F_1|Chains	alpha	82	0.2245	selection/optimal_small_alpha_selection_info.tsv
152	1EZG_1|Chains	alpha	84	0.0000	selection/huge_pdb_alpha_selection_info.tsv
153	1E44_1|Chain	alpha	85	0.0000	selection/huge_pdb_alpha_selection_info.tsv
154	1EMV_1|Chain	alpha	86	0.0000	selection/huge_pdb_alpha_selection_info.tsv
155	1EUV_2|Chain	alpha	86	0.0000	selection/huge_pdb_alpha_selection_info.tsv
156	1ABA_1|Chain	alpha	87	0.0000	selection/pdb_direct_alpha_selection_info.tsv
157	1B72_4|Chain	alpha	87	0.2016	selection/optimal_small_alpha_selection_info.tsv
158	1AY7_2|Chain	alpha	89	0.0000	selection/pdb_direct_alpha_selection_info.tsv
159	1EN2_1|Chain	alpha	89	0.0000	selection/huge_pdb_alpha_selection_info.tsv
160	1BG8_1|Chains	alpha	89	0.2296	selection/optimal_small_alpha_selection_info.tsv
161	1B2U_2|Chains	alpha	90	0.2123	selection/optimal_small_alpha_selection_info.tsv
162	1E8A_1|Chains	alpha	91	0.0000	selection/huge_pdb_alpha_selection_info.tsv
163	1CYO_1|Chain	alpha	93	0.0000	selection/huge_pdb_alpha_selection_info.tsv
164	1CZ8_1|Chains	alpha	94	0.0000	selection/huge_pdb_alpha_selection_info.tsv
165	1A68_1|Chain	alpha	95	0.0000	selection/pdb_direct_alpha_selection_info.tsv
166	1DOY_1|Chain	alpha	96	0.0000	selection/huge_pdb_alpha_selection_info.tsv
167	1CY5_1|Chain	alpha	97	0.0000	selection/huge_pdb_alpha_selection_info.tsv
168	1BL8_1|Chains	alpha	97	0.1466	selection/optimal_small_alpha_selection_info.tsv
169	1APS_1|Chain	alpha	98	0.0000	selection/pdb_direct_alpha_selection_info.tsv
170	1CYU_1|Chain	alpha	98	0.0000	selection/huge_pdb_alpha_selection_info.tsv
171	1ETO_1|Chains	alpha	98	0.0000	selection/huge_pdb_alpha_selection_info.tsv
172	1BEG_1|Chain	alpha	98	0.2342	selection/optimal_small_alpha_selection_info.tsv
173	1AZ5_1|Chain	alpha	99	0.0000	selection/pdb_direct_alpha_selection_info.tsv
174	1CQY_1|Chain	alpha	99	0.0000	selection/huge_pdb_alpha_selection_info.tsv
175	1DE4_2|Chains	alpha	99	0.0000	selection/huge_pdb_alpha_selection_info.tsv
176	1EBW_1|Chains	alpha	99	0.0000	selection/huge_pdb_alpha_selection_info.tsv
177	1FAD_1|Chain	alpha	99	0.0000	selection/huge_pdb_alpha_selection_info.tsv
178	1BM8_1|Chain	alpha	99	0.2464	selection/optimal_small_alpha_selection_info.tsv
