Order	PDB_Chain	Type	Length	Max_Identity_to_Set
1	1AGL_1|Chain	alpha	6	0.0000
2	1P68_1|Chain	alpha	102	0.0189
3	1ERC_1|Chain	alpha	40	0.1181
4	1AVP_2|Chain	alpha	11	0.1333
5	1PEF_1|Chain	alpha	18	0.1600
6	1PGB_1|Chain	alpha	56	0.1791
7	1HTM_1|Chains	alpha	27	0.1842
8	1PIN_1|Chain	alpha	163	0.1883
9	1APS_1|Chain	alpha	98	0.1972
10	1VCC_1|Chain	alpha	77	0.2013
11	1POU_1|Chain	alpha	71	0.2027
12	1HTM_2|Chains	alpha	138	0.2081
13	1FSD_1|Chain	alpha	28	0.2105
14	1CRN_1|Chain	alpha	46	0.2113
15	1MJC_1|Chain	alpha	69	0.2190
16	1ROP_1|Chain	alpha	63	0.2268
17	1WRP_1|Chain	alpha	107	0.2312
18	1SHG_1|Chain	alpha	62	0.2315
19	1ENH_1|Chain	alpha	54	0.2414
20	2TRX_1|Chains	alpha	108	0.2431
21	1TOP_1|Chain	alpha	162	0.2448
22	1BBA_1|Chain	alpha	36	0.2459
23	1CTF_1|Chain	alpha	74	0.2466
24	1UBQ_1|Chain	alpha	76	0.2523
25	1VII_1|Chain	alpha	36	0.2558
26	1BDD_1|Chain	alpha	60	0.2667
27	1ZIF_1|Chain	alpha	12	0.2857
