Order	PDB_Chain	Type	Length	Max_Identity_to_Set
1	1BF4_1|Chain	beta	8	0.0000
2	1FE1_6|Chains	beta	30	0.0000
3	1CEY_1|Chain	beta	128	0.0303
4	1FBV_2|Chain	beta	9	0.1333
5	1BPI_1|Chain	beta	58	0.1553
6	1FE1_2|Chains	beta	174	0.1724
7	1SHF_1|Chains	beta	59	0.1835
8	1PTQ_1|Chain	beta	50	0.1868
9	1HFH_1|Chain	beta	120	0.1981
10	1BF4_3|Chain	beta	63	0.2089
11	1IGD_1|Chain	beta	61	0.2121
12	1KNG_1|Chain	beta	156	0.2137
13	1CSP_1|Chain	beta	67	0.2150
14	1JMX_3|Chain	beta	79	0.2212
15	1TUL_1|Chain	beta	108	0.2302
16	1FBV_3|Chain	beta	154	0.2314
17	1TEN_1|Chain	beta	90	0.2377
18	1WIT_1|Chain	beta	93	0.2416
19	1CLB_1|Chain	beta	76	0.2544
20	1DFN_1|Chains	beta	30	0.2571
21	1TIT_1|Chain	beta	98	0.2791
22	1FE1_9|Chains	beta	87	0.5000
23	1SRL_1|Chain	beta	64	0.5769
24	1BF4_2|Chain	beta	8	0.6000
25	1FE1_5|Chains	beta	40	0.7500
26	1FE1_8|Chains	beta	115	0.7565
27	1GB1_1|Chain	beta	56	0.7727
28	1FE1_4|Chains	beta	155	0.8908
29	1FE1_1|Chains	beta	169	0.9713
30	1FE1_3|Chains	beta	156	0.9936
