Order	PDB_Chain	Type	Length	Source
1	1AD8_3|Chain	alpha	10	PDB_direct
2	1AVP_2|Chain	alpha	11	PDB_direct
3	1ZIF_1|Chain	alpha	12	PDB_direct
4	1ALZ_2|Chain	alpha	16	PDB_direct
5	1PEF_1|Chain	alpha	18	PDB_direct
6	1ALF_1|Chain	alpha	19	PDB_direct
7	1ATP_2|Chain	alpha	20	PDB_direct
8	1AI0_1|Chains	alpha	21	PDB_direct
9	1AKH_1|Chain	alpha	21	PDB_direct
10	1AWC_2|Chain	alpha	21	PDB_direct
11	1AXC_2|Chains	alpha	22	PDB_direct
12	1AS5_1|Chain	alpha	25	PDB_direct
13	1HTM_1|Chains	alpha	27	PDB_direct
14	1FSD_1|Chain	alpha	28	PDB_direct
15	1ARE_1|Chain	alpha	29	PDB_direct
16	1AI0_2|Chains	alpha	30	PDB_direct
17	1VII_1|Chain	alpha	36	PDB_direct
18	1BBA_1|Chain	alpha	36	PDB_direct
19	1AD8_1|Chain	alpha	36	PDB_direct
20	1AJJ_1|Chain	alpha	37	PDB_direct
21	1ERC_1|Chain	alpha	40	PDB_direct
22	1AFO_1|Chains	alpha	40	PDB_direct
23	1CRN_1|Chain	alpha	46	PDB_direct
24	1AN1_2|Chain	alpha	46	PDB_direct
25	1AQ5_1|Chains	alpha	47	PDB_direct
26	1APF_1|Chain	alpha	49	PDB_direct
27	1ARR_1|Chains	alpha	53	PDB_direct
28	1ENH_1|Chain	alpha	54	PDB_direct
29	1PGB_1|Chain	alpha	56	PDB_direct
30	1AKH_3|Chain	alpha	61	PDB_direct
31	1SHG_1|Chain	alpha	62	PDB_direct
32	1ROP_1|Chain	alpha	63	PDB_direct
33	1AHO_1|Chain	alpha	64	PDB_direct
34	1AZP_2|Chain	alpha	66	PDB_direct
35	1MJC_1|Chain	alpha	69	PDB_direct
36	1POU_1|Chain	alpha	71	PDB_direct
37	1AH9_1|Chain	alpha	71	PDB_direct
38	1AIL_1|Chain	alpha	73	PDB_direct
39	1CTF_1|Chain	alpha	74	PDB_direct
40	1UBQ_1|Chain	alpha	76	PDB_direct
41	1VCC_1|Chain	alpha	77	PDB_direct
42	1AKH_4|Chain	alpha	83	PDB_direct
43	1ABA_1|Chain	alpha	87	PDB_direct
44	1AY7_2|Chain	alpha	89	PDB_direct
45	1A68_1|Chain	alpha	95	PDB_direct
46	1AY7_1|Chain	alpha	96	PDB_direct
47	1APS_1|Chain	alpha	98	PDB_direct
48	1AZ5_1|Chain	alpha	99	PDB_direct
49	1P68_1|Chain	alpha	102	PDB_direct
50	1AG2_1|Chain	alpha	103	PDB_direct
51	1AKK_1|Chain	alpha	104	PDB_direct
52	1AYF_1|Chains	alpha	105	PDB_direct
53	1WRP_1|Chain	alpha	107	PDB_direct
54	2TRX_1|Chains	alpha	108	PDB_direct
55	1ACX_1|Chain	alpha	108	PDB_direct
56	1AJ3_1|Chain	alpha	110	PDB_direct
57	1AWC_3|Chain	alpha	110	PDB_direct
58	1AL0_4|Chain	alpha	120	PDB_direct
59	1AR1_4|Chain	alpha	120	PDB_direct
