Order	PDB_Chain	Type	Length	Max_Identity_to_Set
1	1AG5_1|Chain	beta	10	0.0000
2	1AE8_3|Chain	beta	10	0.0000
3	1FE1_6|Chains	beta	30	0.0000
4	1AJ9_1|Chain	beta	141	0.0414
5	1L2Y_1|Chain	beta	20	0.1027
6	1AHD_3|Chain	beta	68	0.1359
7	1AG7_1|Chain	beta	34	0.1579
8	1AI1_3|Chain	beta	24	0.1646
9	1AFQ_1|Chain	beta	13	0.1786
10	1AIE_1|Chain	beta	31	0.1786
11	1UCS_1|Chain	beta	64	0.1786
12	1A4Y_2|Chains	beta	123	0.1839
13	1WGE_1|Chain	beta	83	0.1915
14	1AIY_1|Chains	beta	21	0.1923
15	1BPI_1|Chain	beta	58	0.1948
16	1AEL_1|Chain	beta	131	0.1982
17	1AIW_1|Chain	beta	62	0.2000
18	1AF8_1|Chain	beta	86	0.2011
19	1VFB_1|Chain	beta	107	0.2039
20	1TIT_1|Chain	beta	98	0.2071
21	1AIK_1|Chain	beta	37	0.2083
22	1AJ1_1|Chain	beta	19	0.2121
23	1AAY_3|Chain	beta	90	0.2129
24	1ADR_1|Chain	beta	76	0.2134
25	1HFH_1|Chain	beta	120	0.2139
26	1AIY_2|Chains	beta	30	0.2143
27	1AHS_1|Chains	beta	126	0.2146
28	1AEX_1|Chain	beta	149	0.2174
29	1AFC_1|Chains	beta	140	0.2176
30	1A9N_3|Chains	beta	96	0.2199
31	1AFH_1|Chain	beta	93	0.2205
32	1AGQ_1|Chains	beta	135	0.2212
33	1AJL_1|Chain	beta	12	0.2222
34	1GB1_1|Chain	beta	56	0.2245
35	1ACB_2|Chain	beta	70	0.2250
36	1VFB_3|Chain	beta	129	0.2260
37	1AFQ_3|Chain	beta	96	0.2265
38	1RIS_1|Chain	beta	101	0.2270
39	1BF4_3|Chain	beta	63	0.2278
40	1AC0_1|Chain	beta	108	0.2286
41	1AH1_1|Chain	beta	129	0.2292
42	1AIU_1|Chain	beta	105	0.2295
43	1PTQ_1|Chain	beta	50	0.2308
44	1MFI_1|Chains	beta	114	0.2319
45	1TUL_1|Chain	beta	108	0.2320
46	1TEN_1|Chain	beta	90	0.2320
47	1A91_1|Chain	beta	79	0.2329
48	1AHL_1|Chain	beta	49	0.2333
49	1AGB_2|Chain	beta	99	0.2342
50	1AID_1|Chains	beta	99	0.2342
51	1AG0_1|Chains	beta	129	0.2344
52	1A6S_1|Chain	beta	87	0.2357
53	1AHQ_1|Chain	beta	137	0.2368
54	1A8O_1|Chain	beta	70	0.2373
55	1VFB_2|Chain	beta	116	0.2389
56	1A32_1|Chain	beta	88	0.2405
57	1AI8_1|Chain	beta	36	0.2407
58	1AFJ_1|Chain	beta	72	0.2407
59	1QDD_1|Chain	beta	144	0.2408
60	1ACA_1|Chain	beta	86	0.2417
61	1WIT_1|Chain	beta	93	0.2417
62	1TKV_1|Chains	beta	90	0.2419
63	1AFQ_2|Chain	beta	131	0.2420
64	1AGG_1|Chain	beta	48	0.2424
65	1AGT_1|Chain	beta	38	0.2429
66	1AHR_1|Chain	beta	146	0.2447
67	1A70_1|Chain	beta	97	0.2449
68	1CEY_1|Chain	beta	128	0.2452
69	1A62_1|Chain	beta	130	0.2458
70	1AFL_1|Chains	beta	124	0.2475
71	1JMX_3|Chain	beta	79	0.2478
72	1SHF_1|Chains	beta	59	0.2500
73	1AG4_1|Chain	beta	103	0.2500
74	1A2P_1|Chains	beta	110	0.2500
75	1AHM_1|Chain	beta	129	0.2500
76	1AF5_1|Chain	beta	135	0.2500
77	1AFP_1|Chain	beta	51	0.2527
78	1AA0_1|Chain	beta	113	0.2541
79	1AG6_1|Chain	beta	99	0.2552
80	1ORC_1|Chain	beta	71	0.2574
81	1AIS_2|Chain	beta	17	0.2609
82	1FE1_8|Chains	beta	115	0.2609
83	1AIK_2|Chain	beta	35	0.2632
84	1CLB_1|Chain	beta	76	0.2656
85	1ACD_1|Chain	beta	131	0.2718
86	1CSP_1|Chain	beta	67	0.2791
87	1DFN_1|Chains	beta	30	0.2903
88	1AAY_1|Chain	beta	11	0.3125
89	1AIS_1|Chain	beta	17	0.3182
90	1AJ9_2|Chain	beta	146	0.3287
91	1AAP_1|Chains	beta	58	0.3333
92	1AJF_1|Chain	beta	18	0.3810
93	1A9N_1|Chains	beta	24	0.3846
94	1AG5_2|Chain	beta	11	0.4000
95	1AAY_2|Chain	beta	11	0.4000
96	1AHD_2|Chain	beta	14	0.4118
97	1AIO_1|Chains	beta	12	0.4667
98	1AHD_1|Chain	beta	14	0.4706
99	1AIZ_1|Chains	beta	129	0.4828
100	1AGU_2|Chain	beta	11	0.5000
101	1AFZ_2|Chain	beta	11	0.5000
102	1AG3_2|Chain	beta	11	0.5000
103	1AFX_1|Chain	beta	12	0.5000
104	1ABI_3|Chain	beta	20	0.5000
105	1AGI_1|Chain	beta	125	0.5122
106	1AGU_1|Chain	beta	11	0.5714
107	1AFZ_1|Chain	beta	11	0.5714
108	1SRL_1|Chain	beta	64	0.5769
109	1AG3_1|Chain	beta	13	0.6000
110	1AIO_2|Chains	beta	12	0.6429
111	1FE1_5|Chains	beta	40	0.7500
112	1FE1_9|Chains	beta	87	0.7565
113	1AHT_3|Chain	beta	13	0.7692
114	1IGD_1|Chain	beta	61	0.7727
115	1A43_1|Chain	beta	87	0.8046
116	1SJT_2|Chain	beta	29	0.8438
117	1AI8_3|Chain	beta	12	0.9231
118	1ZAA_3|Chain	beta	87	0.9451
